country,countryiso3code,year,GDP growth %,GNI growth,Government expenditure on education,Inflation Rate,Life expectancy,Literacy Rate,Population growth,Poverty Rate,Unemployment Rate,Foreign Domestic Investment(FDI),Gross Capital Formation(GCF),Gross Domestic Product(GDP),Gross National Income(GNI)
Germany,DEU,2021,3.6699998840452,3.60906357219859,9.06617259979248,3.06666666666673,80.790243902439,,0.0423270572552137,14.8,3.594,127.609826748268,976.6880242170389,4348.29744038753,4495.30141626737
Germany,DEU,2022,1.36973104612758,0.187713195430632,9.19070148468018,6.87257438551097,80.6080487804878,,0.720875455989295,,3.12,87.2154145624594,958.503825303506,4163.59635787939,4314.49717467511
Germany,DEU,2023,-0.266438401180253,1.05562373762329,,5.94643667725823,80.5414634146342,,0.123957150064395,,3.068,77.4389578751405,980.834990990213,4525.70390362753,4684.29032940989
India,IND,2018,6.45385134497769,5.2975532382258,13.0661878585815,3.9388264669163,70.415,,1.09729906702925,,7.652,42.1174507372644,874.214432208492,2702.92964164874,2673.99427692232
India,IND,2019,3.87143694070356,5.66207307904598,14.9984302520752,3.72950573539129,70.746,,1.04001395098104,,6.51,50.610647353591204,853.4096612404511,2835.60625655819,2808.3676232541497
India,IND,2020,-5.77772470686801,-5.45160392673795,14.9909858703613,6.62343677628535,70.156,,0.973438646910149,,7.859,64.3623649943754,773.630845204822,2674.85157858727,2638.92200672905
India,IND,2021,9.68959249192875,6.21214035520133,14.6473617553711,5.13140747176369,67.282,,0.822648220128724,,6.38,44.727277562881,1017.19500118323,3167.27062326047,3129.98284904207
India,IND,2022,7.60936497768895,6.13146976201575,14.1554746627808,6.69903414079852,71.698,76.0,0.790200540609834,,4.822,49.940258404266,1124.93646005118,3346.1072877309302,3300.02828821933
India,IND,2023,9.19075493028345,13.6914322653861,,5.64914318907925,72.003,77.0,0.883289539766135,,4.172,28.0789835303979,1213.88402477491,3638.48909603386,3588.7039522760697
Indonesia,IDN,2018,5.17429153955024,4.28463620526188,16.7957096099854,3.1983464156241,70.08,96.0,0.969743409524713,9.8,4.387,18.909826043510503,360.319374914032,1042.27153298863,1011.2126267531401
Indonesia,IDN,2019,5.01928768046282,4.23148667095346,17.33811378479,3.03058664969487,70.349,,0.935604959235128,9.4,3.59,24.9935517480098,378.03352988739204,1119.0998713502,1085.07865016628
Indonesia,IDN,2020,-2.06551182934165,-1.28196193282622,17.9436836242676,1.9209680056685,68.817,96.0,0.849801187379341,9.8,4.255,19.175077747807702,342.534471649144,1059.05484269848,1029.97505692745
Indonesia,IDN,2021,3.70288562827751,5.27557675903007,16.0678157806396,1.56012990525673,67.452,,0.704601321926319,10.1,3.827,21.2130803298583,373.143919782101,1186.50969108673,1154.29748686171
Indonesia,IDN,2022,5.30719722664799,5.74456535892227,13.9326143264771,4.20946383402165,70.925,,0.746050469653246,9.5,3.462,24.702029705092603,392.370786615931,1319.10118338015,1283.4712975725
Indonesia,IDN,2023,5.04902331835997,3.10768206976097,,3.67013142377007,71.146,,0.842666137328498,9.4,3.308,21.5433587813828,416.048231027818,1371.1693015636201,1334.92057275507
Italy,ITA,2018,0.826646712344115,1.18606888120436,8.11164093017578,1.13748763600391,83.3463414634146,,0.243703643127712,20.1,10.61,44.2497153191484,391.772919564078,2099.43526645867,2122.05054532141
Italy,ITA,2019,0.429162533780342,0.351516279756581,8.04736328125,0.611246943765304,83.4975609756098,99.0,-0.700011055973408,20.0,9.951,35.760550299485296,370.88324846745,2019.60679658353,2035.70484003451
Italy,ITA,2020,-8.86822122185345,-7.60150286425544,7.4938817024231,-0.13770757391651,82.1951219512195,,-0.487095091717782,20.1,9.164,-17.0503996208673,341.414067365293,1907.48109407923,1931.75961457106
Italy,ITA,2021,8.93106210800055,7.41686487113218,7.43716192245483,1.87378325762481,82.6463414634146,,-0.515599998844444,20.1,9.497,26.2538565101011,479.450514620923,2179.20777359609,2203.37825457283
Italy,ITA,2022,4.82117669913565,1.30328877853152,,8.20128991161718,82.7,,-0.20230086688254,,8.069,61.8977573379736,517.552871193582,2104.06763031946,2123.55113622219
Italy,ITA,2023,0.715372500867531,2.01178966657065,,5.62219442195901,83.7,,-0.0342216578672275,,7.627,42.0197530744717,528.378458213931,2304.60513986279,2292.51947603318
Japan,JPN,2018,0.643391023533141,-0.00240493064585223,8.12929344177246,0.989094598021848,84.2109756097561,,-0.126880068088791,,2.467,25.2893678578518,1292.5682891194099,5040.88093932486,5233.67741672246
