country,countryiso3code,year,FDI,GCF,GDP,GDP growth %,GNI,GNI growth,Government expenditure on education,Inflation Rate,Life expectancy,Literacy Rate,Population growth,Poverty Rate,Unemployment Rate
Armenia,ARM,2020,58582750.1214803,2485842490.63676,12641698583.2152,-7.19999999920631,12439008672.029,-7.4625651617428,9.57238006591797,1.21143577838465,73.3756097560976,100.0,-0.0337609726366775,27.0,18.175
Armenia,ARM,2021,366445214.820501,3187135399.09086,13878908628.9378,5.80000000065645,13479935696.4488,5.03802661963819,9.66730403900146,7.18483629443371,72.2780487804878,,0.0270096898904032,26.5,15.469
Armenia,ARM,2022,975658909.266107,4366853352.30794,19513506553.1251,12.5999999997766,18991671827.7595,12.4742462022543,9.70266437530518,8.64091108973855,74.7658536585366,,0.2326562627468,24.8,13.379
Armenia,ARM,2023,580365078.650983,5129150275.17326,24085749592.3359,8.29999999959539,23434106610.7827,7.45169189348078,,1.98041877615554,77.4658536585366,,-0.165163937436499,,13.245
Aruba,ABW,2018,144146269.421966,733921787.709497,3276184357.5419,2.39708619981323,3061556871.50838,,20.1234397888184,3.62604141352961,75.88,,0.158975971141518,,
Aruba,ABW,2019,-75226540.6843182,761966480.446927,3395798882.68156,-2.23244202651868,3242394134.07821,,19.4014263153076,4.25746204335428,76.019,,0.270504632854835,,
Aruba,ABW,2020,161066979.086053,600082849.162011,2481857122.8401,-26.2118202145169,2413701726.62848,,,,75.406,97.9899978637695,-0.565684046703506,,
Aruba,ABW,2021,133545121.178455,638273128.49162,2929446578.25104,24.1326273569798,2824767104.28028,,,,73.655,,-0.82021108315363,,
Aruba,ABW,2022,248150282.616618,685957430.167598,3279343543.60416,8.51791810517545,3154132445.31878,,,,76.226,,-0.362774222330685,,
Aruba,ABW,2023,-137459364.921322,783020335.195531,3648573136.15155,4.26371941452948,3332806320.74332,,,,76.353,,0.0456516784920034,,
Australia,AUS,2018,60686639529.923,351903698880.724,1427809041019.44,2.87846971467883,1382739590115.65,,15.1084365844727,1.91140094445691,82.7487804878049,,1.49599671041328,,5.3
Australia,AUS,2019,38745129661.1196,325776046356.446,1392723834562.64,2.17154505737176,1345853874492.3,,15.2933683395386,1.61076787290379,82.9,,1.47749071058438,,5.159
Australia,AUS,2020,17976843681.3118,297933100095.123,1328414058378.38,-0.119590735829973,1298368829650.52,,14.4562530517578,0.846905537459305,83.2,,1.23342825131378,,6.456
Australia,AUS,2021,31518948092.7139,357072221239.539,1556735770437.26,2.11116814768786,1539273615554.95,,13.1453952789307,2.86391042204994,83.3,,0.14089508329287,,5.116
Australia,AUS,2022,70364982117.0187,401886383111.799,1690858246994.43,4.24238555336139,1626539969365.68,,13.9446935653687,6.59409671341846,83.2,,1.27269881377618,,3.728
Australia,AUS,2023,32480422229.3843,414284752789.78,1728057316695.61,3.44199220009025,1653703105439.57,,,5.5970149253731,83.0512195121951,,2.42431553908742,,3.668
Austria,AUT,2018,-27839206246.3826,117211012890.819,452582294972.775,2.48422114080024,447902034078.745,2.21116038386926,9.81190967559814,1.9983798142954,81.6926829268293,,0.487071924768999,13.3,4.933
Austria,AUT,2019,-12636357247.4569,113000733201.38,442983642371.842,1.75497619649288,441977716161.568,2.22259028913369,9.88176250457764,1.53089564152644,81.8951219512195,,0.444673639004876,13.9,4.56
Austria,AUT,2020,-12003798872.8906,111436337113.753,434397601557.696,-6.31825509209936,439178173138.211,-4.61532749123108,8.94960975646973,1.38191063351862,81.1926829268293,,0.415176731565556,14.7,5.201
Austria,AUT,2021,18998114634.0552,132960814072.025,480467037338.783,4.79532885699543,488391794817.046,4.8138322379241,8.81137847900391,2.7666666666667,81.190243902439,,0.435671684056384,14.8,6.459
Austria,AUT,2022,14301504457.0346,137884195255.971,471773629830.381,5.27789448538658,473895475449.029,1.07626317742904,8.97728061676025,8.5468699318845,81.2951219512195,,0.956287797076634,,4.992
Austria,AUT,2023,2924935668.81844,130009053893.438,511685203845.001,-0.954962529389121,511893328592.95,-1.14336080701139,,7.81413417002832,81.5414634146342,,0.989464653969154,,5.264
Azerbaijan,AZE,2018,1402998000.0,9483493400.36012,47112470051.7701,1.5004017069941,44853080880.9559,,8.45423603057861,2.26854690373999,73.016,,0.866316916370841,,4.9
Azerbaijan,AZE,2019,1503918000.0,9783117647.05882,48174235294.1176,2.47980893443938,46318529411.7647,,8.59315299987793,2.61057182799215,73.29,100.0,0.846646726414021,,5.0
Azerbaijan,AZE,2020,507151800.0,10103705882.3529,42693000000.0,-4.19896079231232,42422882352.9412,,9.80201053619385,2.75980947008127,70.312,,0.684365325388407,,7.24
Azerbaijan,AZE,2021,-1707666000.0,9363411764.70588,54825411764.7059,5.61644026860644,53687352941.1765,,10.7886276245117,6.65029912708779,70.999,,0.441197735816311,,6.04
Azerbaijan,AZE,2022,-4474481000.0,9459823529.41176,78807470588.2353,4.71468037857544,73522647058.8235,,,13.8522590144267,74.125,,0.039507866238038,,5.65
